org_id,realcode,total_amount,record_count,org_total_amount,org_total_records,share_amount,share_records
01304d12,J7500,7700.0,12,511691.0,367,0.015048144290206395,0.0326975476839237
01304d12,J8000,3000.0,3,511691.0,367,0.005862913359820673,0.008174386920980926
01304d12,X1200,15500.0,2,511691.0,367,0.030291719025740144,0.005449591280653951
01304d12,Y4000,6700.0,6,511691.0,367,0.013093839836932837,0.01634877384196185
01388b8c,B1000,475032.0,1166,777187.0,1463,0.6112196935872576,0.7969924812030075
01388b8c,B4000,232411.0,236,777187.0,1463,0.29904128607400793,0.16131237183868763
01388b8c,E1700,59500.0,43,777187.0,1463,0.07655815138441585,0.02939166097060834
01388b8c,J1100,800.0,8,777187.0,1463,0.001029353295924919,0.005468215994531784
01388b8c,J1200,2493.0,4,777187.0,1463,0.0032077222084260287,0.002734107997265892
01388b8c,J7400,951.0,4,777187.0,1463,0.0012236437305307474,0.002734107997265892
01388b8c,Z9600,1000.0,1,777187.0,1463,0.0012866916199061487,0.000683526999316473
01388b8c,z9600,5000.0,1,777187.0,1463,0.006433458099530743,0.000683526999316473
013b48a1,E1150,45399.0,11,8233073.0,5380,0.005514222939599831,0.0020446096654275093
013b48a1,E1220,8153174.0,5354,8233073.0,5380,0.9902953611610148,0.9951672862453531
013b48a1,Z9600,26500.0,7,8233073.0,5380,0.0032187252560495943,0.0013011152416356876
013b48a1,z9600,8000.0,8,8233073.0,5380,0.0009716906433357265,0.001486988847583643
01438230,G6550,734862.0,332,782912.0,353,0.9386265633940979,0.9405099150141643
01438230,J7500,19400.0,7,782912.0,353,0.024779285539115507,0.019830028328611898
01438230,J7510,23650.0,13,782912.0,353,0.030207737268045452,0.036827195467422094
01438230,Y4000,5000.0,1,782912.0,353,0.00638641379874111,0.0028328611898017
01453c00,M0000,311359.0,142,324059.0,151,0.9608096056582289,0.9403973509933775
01453c00,Y4000,12700.0,9,324059.0,151,0.039190394341771094,0.059602649006622516
0149b6aa,M2100,45600.0,50,45600.0,50,1.0,1.0
014a4ef3,B3200,635255.0,169,635255.0,169,1.0,1.0
01541b36,F2100,5000.0,1,757355.0,420,0.0066019238005954935,0.002380952380952381
01541b36,G5200,250.0,1,757355.0,420,0.0003300961900297747,0.002380952380952381
01541b36,G5210,731555.0,396,757355.0,420,0.9659340731889272,0.9428571428571428
01541b36,J7150,14000.0,16,757355.0,420,0.018485386641667382,0.0380952380952381
01541b36,J7400,5550.0,5,757355.0,420,0.007328135418660998,0.011904761904761904
01541b36,K2000,1000.0,1,757355.0,420,0.0013203847601190987,0.002380952380952381
0154b235,B5100,706478.0,1015,706478.0,1015,1.0,1.0
01628a8a,G4600,561491.0,163,567191.0,175,0.9899504752367368,0.9314285714285714
01628a8a,G6400,1500.0,3,567191.0,175,0.002644611779806097,0.017142857142857144
01628a8a,J7400,500.0,1,567191.0,175,0.0008815372599353657,0.005714285714285714
01628a8a,X4200,3700.0,8,567191.0,175,0.006523375723521706,0.045714285714285714
01656e0e,J5100,1000.0,1,3513513.0,4276,0.00028461542621302386,0.00023386342376052386
01656e0e,J6100,500.0,1,3513513.0,4276,0.00014230771310651193,0.00023386342376052386
01656e0e,J7120,400.0,2,3513513.0,4276,0.00011384617048520953,0.0004677268475210477
01656e0e,J7400,50119.0,58,3513513.0,4276,0.014264640546370541,0.013564078578110383
01656e0e,JD200,520.0,4,3513513.0,4276,0.0001480000216307724,0.0009354536950420954
01656e0e,JE300,12900.0,12,3513513.0,4276,0.0036715389981480076,0.002806361085126286
01656e0e,K1000,3075536.0,3595,3513513.0,4276,0.8753449894734985,0.8407390084190832
01656e0e,K1200,254316.0,422,3513513.0,4276,0.07238225673279138,0.09869036482694106
01656e0e,K2000,104088.0,160,3513513.0,4276,0.029625050483661226,0.037418147801683815
01656e0e,K2100,3300.0,6,3513513.0,4276,0.0009392309065029787,0.001403180542563143
01656e0e,Z9600,10834.0,15,3513513.0,4276,0.0030835235275919,0.0035079513564078577
016a86f0,H3000,672958.0,460,687435.0,479,0.9789405543796869,0.9603340292275574
016a86f0,Y4000,13477.0,18,687435.0,479,0.0196047626321034,0.037578288100208766
016a86f0,Z9600,1000.0,1,687435.0,479,0.0014546829882097945,0.0020876826722338203
01716b44,H1700,1594037.0,1617,1598637.0,1624,0.9971225487712345,0.9956896551724138
01716b44,J5100,1000.0,4,1598637.0,1624,0.0006255328758185879,0.0024630541871921183
01716b44,Z9600,1100.0,2,1598637.0,1624,0.0006880861634004468,0.0012315270935960591
01716b44,z9600,2500.0,1,1598637.0,1624,0.00156383218954647,0.0006157635467980296
0175bae8,F4000,571016.0,377,798061.0,588,0.7155042033127793,0.641156462585034
0175bae8,F4100,196762.0,176,798061.0,588,0.2465500757460896,0.29931972789115646
0175bae8,F4200,450.0,2,798061.0,588,0.0005638666718458864,0.003401360544217687
0175bae8,J1100,5100.0,3,798061.0,588,0.006390488947586714,0.00510204081632653
0175bae8,J7120,2700.0,4,798061.0,588,0.003383200031075319,0.006802721088435374
0175bae8,J7400,8950.0,12,798061.0,588,0.011214681584490408,0.02040816326530612
0175bae8,J7500,500.0,1,798061.0,588,0.0006265185242732072,0.0017006802721088435
0175bae8,JD100,4700.0,6,798061.0,588,0.005889274128168148,0.01020408163265306
0175bae8,JH100,5800.0,4,798061.0,588,0.007267614881569203,0.006802721088435374
0175bae8,Y4000,2000.0,2,798061.0,588,0.0025060740970928286,0.003401360544217687
0175bae8,Z9600,83.0,1,798061.0,588,0.0001040020750293524,0.0017006802721088435
01803476,B5100,421549.0,195,421549.0,195,1.0,1.0
01aba6b9,F5100,359936.0,217,359936.0,217,1.0,1.0
01af9840,T2300,450486.0,388,447927.0,460,1.0057129844818464,0.8434782608695652
01af9840,Y4000,7441.0,68,447927.0,460,0.016612081879413387,0.14782608695652175
01af9840,Z9600,-10000.0,4,447927.0,460,-0.02232506636125976,0.008695652173913044
01b2e865,F2100,350050.0,104,350050.0,104,1.0,1.0
01bb67b2,F0000,7700.0,14,554513.0,475,0.013886058577526587,0.029473684210526315
01bb67b2,F4000,23550.0,41,554513.0,475,0.04246969863646118,0.0863157894736842
01bb67b2,F4100,432613.0,301,554513.0,475,0.7801674622596765,0.6336842105263157
01bb67b2,J1100,4360.0,8,554513.0,475,0.007862755246495573,0.016842105263157894
01bb67b2,J5100,74140.0,94,554513.0,475,0.13370290687504172,0.19789473684210526
01bb67b2,J7500,4700.0,4,554513.0,475,0.00847590588498376,0.008421052631578947
01bb67b2,J8000,3500.0,4,554513.0,475,0.00631184480796663,0.008421052631578947
01bb67b2,Y4000,3450.0,8,554513.0,475,0.00622167559642425,0.016842105263157894
01bb67b2,Z9600,500.0,1,554513.0,475,0.0009016921154238044,0.002105263157894737
01bbc8bf,C4100,6500.0,11,2985415.0,1638,0.0021772517388704755,0.006715506715506716
01bbc8bf,C4200,2517115.0,1318,2985415.0,1638,0.8431373862595317,0.8046398046398047
01bbc8bf,J5100,461800.0,309,2985415.0,1638,0.15468536200159777,0.18864468864468864
01be5de2,J5100,3500.0,4,915578.0,3694,0.0038227218216252464,0.0010828370330265296
01be5de2,J7400,1236.0,17,915578.0,3694,0.001349966906151087,0.0046020573903627505
01be5de2,J7500,2500.0,3,915578.0,3694,0.0027305155868751763,0.0008121277747698972
01be5de2,T9400,907807.0,3666,915578.0,3694,0.9915124653497572,0.9924201407688142
01be5de2,Z9600,535.0,4,915578.0,3694,0.0005843303355912877,0.0010828370330265296
01c1f3e6,G2100,4250.0,12,2140070.0,1775,0.0019859163485306556,0.0067605633802816905
01c1f3e6,G5260,3700.0,2,2140070.0,1775,0.0017289154093090412,0.0011267605633802818
01c1f3e6,K2000,2126500.0,1756,2140070.0,1775,0.9936590859177503,0.9892957746478873
01c1f3e6,Z9600,5620.0,5,2140070.0,1775,0.002626082324409949,0.0028169014084507044
01c4d938,E2000,430076.0,296,430076.0,296,1.0,1.0
01c77db5,C6200,15649278.0,2866,15773947.0,2919,0.9920965247315716,0.9818430969510106
01c77db5,J7400,121.0,1,15773947.0,2919,7.670876540919024e-06,0.00034258307639602604
01c77db5,J7500,99900.0,37,15773947.0,2919,0.006333227821800086,0.012675573826652964
01c77db5,JE300,98.0,6,15773947.0,2919,6.21277604140549e-06,0.0020554984583761563
01c77db5,Z9600,24550.0,9,15773947.0,2919,0.001556363794045967,0.003083247687564234
01c87599,F4000,406163.0,176,407663.0,177,0.9963204902088244,0.9943502824858758
01c87599,Z9600,1500.0,1,407663.0,177,0.0036795097911755544,0.005649717514124294
01d1ad32,J2100,510950.0,357,510950.0,357,1.0,1.0
01d830d9,K1100,511250.0,12,511750.0,14,0.9990229604298974,0.8571428571428571
01d830d9,K2000,500.0,2,511750.0,14,0.0009770395701025891,0.14285714285714285
01d9cdbd,K1000,293995.0,226,321495.0,248,0.9144621222725081,0.9112903225806451
01d9cdbd,K1100,27500.0,22,321495.0,248,0.08553787772749187,0.08870967741935484
01dbb7b3,A4500,796883.0,322,796883.0,322,1.0,1.0
01dfebc7,B4400,45500.0,29,728305.0,261,0.06247382621291904,0.1111111111111111
01dfebc7,F2600,12050.0,10,728305.0,261,0.016545266062981855,0.038314176245210725
01dfebc7,G5250,8000.0,9,728305.0,261,0.010984409004469281,0.034482758620689655
01dfebc7,J1100,2000.0,2,728305.0,261,0.0027461022511173203,0.007662835249042145
01dfebc7,M2000,596005.0,186,728305.0,261,0.8183453360885893,0.7126436781609196
01dfebc7,M2300,64750.0,25,728305.0,261,0.08890506037992324,0.09578544061302682
01e1f33e,C2000,357174.0,268,2148452.0,1644,0.16624713980112193,0.1630170316301703
01e1f33e,C2200,894986.0,803,2148452.0,1644,0.4165724903325743,0.4884428223844282
01e1f33e,C2300,862712.0,496,2148452.0,1644,0.40155051171727363,0.30170316301703165
01e1f33e,J6100,5300.0,36,2148452.0,1644,0.0024668924416277396,0.021897810218978103
01e1f33e,J7150,5400.0,2,2148452.0,1644,0.00251343758203581,0.0012165450121654502
01e1f33e,J7400,12200.0,10,2148452.0,1644,0.005678507129784608,0.006082725060827251
01e1f33e,J7500,3555.0,21,2148452.0,1644,0.0016546797415069082,0.012773722627737226
01e1f33e,Z9600,7125.0,8,2148452.0,1644,0.003316341254075027,0.004866180048661801
01e77bed,H1130,540275.0,173,550275.0,175,0.9818272681840897,0.9885714285714285
01e77bed,Y4000,10000.0,2,550275.0,175,0.018172731815910226,0.011428571428571429
01ec0bb1,J1200,900.0,4,675335.0,1515,0.0013326719331887137,0.0026402640264026403
01ec0bb1,J7400,4025.0,5,675335.0,1515,0.005960005034538415,0.0033003300330033004
01ec0bb1,K1000,665677.0,1493,675335.0,1515,0.9856989494102927,0.9854785478547855
01ec0bb1,Y4000,1250.0,4,675335.0,1515,0.0018509332405398803,0.0026402640264026403
01ec0bb1,Z9600,3483.0,9,675335.0,1515,0.005157440381440322,0.005940594059405941
01f6ba2b,J9000,3870474.0,63,3870474.0,63,1.0,1.0
01f82397,J1200,1625000.0,7,1645000.0,8,0.9878419452887538,0.875
01f82397,Y4000,20000.0,1,1645000.0,8,0.0121580547112462,0.125
020105e8,E1150,25000.0,10,8541836.0,3948,0.002926771246837331,0.0025329280648429585
020105e8,F2100,440556.0,139,8541836.0,3948,0.05157626533686669,0.03520770010131712
020105e8,F2500,227400.0,34,8541836.0,3948,0.026621911261232364,0.008611955420466059
020105e8,F3400,2000.0,2,8541836.0,3948,0.00023414169974698648,0.0005065856129685917
